id,Unnamed: 0,left_team_name,date,right_team_name,draw_odds,winner,game,left_odds,right_odds,formatted_date
FhfT3BDOwc5kShrm3IsS,68,SSG Landers,2024-07-18,LG Twins,,Draw,baseball,1.87,1.83,July 18 2024
IHlOVchUqj0pWTykGxD7,84,Hanwha Eagles,2024-07-18,NC Dinos,,NC Dinos,baseball,1.78,1.92,July 18 2024
JurB8nqYPusP3IChRzVF,89,El Aguila de Veracruz,2024-07-18,Olmecas De Tabasco,,Olmecas De Tabasco,baseball,2.06,1.67,July 18 2024
MjixbSwgiqi4iTD0QLUJ,109,Vaqueros De La Laguna,2024-07-18,Tecolotes de los Dos Laredos,,Tecolotes de los Dos Laredos,baseball,2.1,1.65,July 18 2024
Xa0Mpn8u5ynpwOykps5Z,150,Guerreros De Oaxaca,2024-07-18,Piratas de Campeche,,Guerreros De Oaxaca,baseball,1.61,2.17,July 18 2024
XjhnNLMDOVT9ymdKN3Fg,152,Saraperos De Saltillo,2024-07-18,Toros de Tijuana,,Toros de Tijuana,baseball,2.1,1.65,July 18 2024
blovb3aUFX34LhsD1W6U,168,Generales De Durango,2024-07-18,Acereros del Norte Monclova,,Generales De Durango,baseball,2.56,1.45,July 18 2024
cmQAIejSPoFioftD6dAE,171,KT Wiz,2024-07-18,Kiwoom Heroes,,KT Wiz,baseball,1.5,2.42,July 18 2024
iwMXHQ2dQnUmQU4TNgin,192,Bravos De Leon,2024-07-18,Pericos de Puebla,,Bravos De Leon,baseball,2.44,1.49,July 18 2024
k86lAVmFvRlTuX4sDMW8,198,Samsung Lions,2024-07-18,Kia Tigers,,Kia Tigers,baseball,2.05,1.68,July 18 2024
xuyGchxdy6KHkCxdXxnH,239,Leones de Yucatan,2024-07-18,Conspiradores de Queretaro,,Draw,baseball,1.86,1.84,July 18 2024
PMe8Isv8pXOXgXdki8Cr,116,Elhem Mekhaled,2024-07-20,Chantelle Cameron,,Draw,boxing,7.67,1.05,July 20 2024
SUMn4vN4HC9BETSTMMKa,130,Brad Pauls,2024-07-20,Nathan Heaney,,Draw,boxing,2.5,1.46,July 20 2024
opPm17BJ8hcs2vHA1NvM,219,Ashley Lane,2024-07-20,Andrew Cain,,Draw,boxing,9.21,1.03,July 20 2024
MVArsRWavX4zm9kHNP5a,108,Atlanta FaZe,2024-07-18,Miami Heretics,,Miami Heretics,cod,1.13,4.14,July 18 2024
SILMUarqnPwODJitTdF4,128,Toronto Ultra,2024-07-18,Los Angeles Thieves,,Los Angeles Thieves,cod,1.3,2.93,July 18 2024
fdax0omXpkyDdgEhwCIc,179,OpTic Texas,2024-07-18,Los Angeles Guerrillas,,OpTic Texas,cod,1.27,3.08,July 18 2024
z8KcIdpjdnYpqZ3NGcbV,242,New York Subliners,2024-07-18,Seattle Surge,,Miami Heretics,cod,1.29,2.98,July 18 2024
13J6YPCwRZH4FfCc31jF,3,Vitality,2024-07-17,M80,,Vitality,csgo,1.09,6.34,July 17 2024
RciGOoKFXOjoxKGgaVUg,124,G2,2024-07-17,TheMongolZ,,G2,csgo,1.58,2.2,July 17 2024
ZzWdmmHncgJqqqSrRM07,160,Natus Vincere,2024-07-17,FURIA,,Natus Vincere,csgo,1.27,3.34,July 17 2024
jcwGMc0oX53L1wpt5O0D,194,FaZe,2024-07-17,FlyQuest,,G2,csgo,1.11,5.51,July 17 2024
nOiwtX6mULY20G6N9X33,209,Virtus.pro,2024-07-17,Complexity,,Virtus.pro,csgo,1.63,2.12,July 17 2024
npJtmc0KdH1CJXZgw3Zg,211,Spirit,2024-07-17,MIBR,,Spirit,csgo,1.11,5.67,July 17 2024
ReeH1iGoV6ybz9vLSJ6g,125,Imperial,2024-07-18,T2M4SS,,Imperial,csgo,1.02,10.1,July 18 2024
2zyI7SBsu8OzDwQkCCyG,9,Frank,2024-07-19,West Point Ph,,Frank,lol,1.02,10.52,July 19 2024
9T4Sq7K3zecjNK5QOWyX,41,Gen.G Global Academy,2024-07-19,BRION Challengers,,Gen.G Global Academy,lol,2.41,1.48,July 19 2024
Hr0atf4llkvj6cgZth5n,83,Invictus,2024-07-19,EDward Gaming,,Invictus,lol,2.51,1.5,July 19 2024
Lv2EXGWKZ9sUoEvilzN4,100,Ninjas in Pyjamas,2024-07-19,JD Gaming,,JD Gaming,lol,4.31,1.2,July 19 2024
MJPDZjD5hoeiXAV14JCX,104,Ninjas in Pyjamas,2024-07-19,JD Gaming,,JD Gaming,lol,4.51,1.19,July 19 2024
NEnWAd3iQ6Xwt80RGU3o,110,SK Prime,2024-07-19,Schalke 04,,Schalke 04,lol,1.09,5.84,July 19 2024
Qrp1RacG92pTCaA0boIi,121,Hanwha Life Challengers,2024-07-19,FearX Youth,,Hanwha Life Challengers,lol,2.41,1.48,July 19 2024
ZseN6pN9zA1HdhkmcICz,158,PSG Talon,2024-07-19,CTBC Flying Oyster,,PSG Talon,lol,1.39,2.62,July 19 2024
b9iubpGuQqLATb2nlpcB,165,KT Rolster,2024-07-19,DRX,,KT Rolster,lol,1.14,5.31,July 19 2024
fOYt8ARFDx289jHizkTh,178,PSG Talon,2024-07-19,CTBC Flying Oyster,,PSG Talon,lol,1.28,3.16,July 19 2024
olgDezeVVOZd1t6iUkIL,218,BRUTE,2024-07-19,Dynamo Eclot,,Dynamo Eclot,lol,1.31,3.06,July 19 2024
pD8KBKXpv87Q6dvfod2F,222,LGD,2024-07-19,Funplus Phoenix,,Funplus Phoenix,lol,2.22,1.62,July 19 2024
zbgN64YrkyBES44WZObw,243,Kwangdong Freecs,2024-07-19,OKSavingsBank BRION,,OKSavingsBank BRION,lol,1.14,5.19,July 19 2024
295GF3Bfez3aEAkpJyzQ,6,T1,2024-07-20,Hanwha Life,,Hanwha Life,lol,1.87,1.87,July 20 2024
3lp9BX295HKQu2ceIx9I,15,LOUD,2024-07-20,KaBuM,,Draw,lol,1.52,2.44,July 20 2024
4ErEoOh7ssl5RN8YQG8h,16,AXIZ CREST,2024-07-20,V3,,Draw,lol,1.34,2.89,July 20 2024
6mTfKTGw11aLx2DUngNR,29,T1,2024-07-20,Hanwha Life,,Hanwha Life,lol,1.85,1.89,July 20 2024
7uNjdMcWq0JFDosqPMIr,36,EGN,2024-07-20,GTZ,,,lol,1.22,3.65,July 20 2024
8TN1d4FWDcQJEGzCPBuT,37,MAX,2024-07-20,Top Esports Challengers,,Draw,lol,1.42,2.6,July 20 2024
AzTEgvk87YQkJudVtjHg,50,JD Gaming,2024-07-20,Bilibili,,Draw,lol,2.73,1.43,July 20 2024
GLYNNYd3aOxqYp8PpmAU,72,Movistar KOI,2024-07-20,UCAM Tokiers,,Draw,lol,1.37,2.76,July 20 2024
KZABQ34s3PZ3AGIgwaJX,95,Team WE,2024-07-20,Oh My God,,Oh My God,lol,1.42,2.75,July 20 2024
L4PKmOmoVXhgiuIFvkaA,97,AXIZ CREST,2024-07-20,V3,,Draw,lol,1.35,2.86,July 20 2024
MOtwGOQmUyVo1ddAzYeb,105,Detonation FocusMe,2024-07-20,Sengoku,,Draw,lol,1.04,8.03,July 20 2024
NRKMbNcV8ZqwxEqwHU5u,111,INTZ,2024-07-20,FURIA,,Draw,lol,1.7,2.07,July 20 2024
Spl8Q0ToJb9gThMl43YW,131,Vitality.Bee,2024-07-20,GameWard,,Draw,lol,1.18,4.11,July 20 2024
U80qYd2xvhMYjO0RTnLb,136,Top Esports,2024-07-20,LGD,,Falcons,lol,1.07,7.78,July 20 2024
UKb9DQzhlGxTEKxfiwks,137,RED Canids,2024-07-20,paiN,,Draw,lol,3.02,1.35,July 20 2024
UklLcb8YZqxz35en2QBR,141,NNO Prime,2024-07-20,Unicorns of Love Sexy Edition,,Draw,lol,2.73,1.38,July 20 2024
VNkOMYNAQP3E9BtvyfD8,144,Detonation FocusMe,2024-07-20,Sengoku,,Draw,lol,1.05,7.84,July 20 2024
cSsFoQb6hjKWxJe6JN7i,169,Gen.G,2024-07-20,Dplus KIA,,Gen.G,lol,1.14,5.14,July 20 2024
fl1Zzn9lkwhwc7cN8Vj6,180,Team WE,2024-07-20,Oh My God,,Oh My God,lol,1.36,3.05,July 20 2024
i8d260GLcDdEHkyzWvF7,187,Misa,2024-07-20,FUT,,Draw,lol,1.37,2.74,July 20 2024
svHB0iPEz93OdgBCqPpN,226,Deep Cross,2024-07-20,CTBC Flying Oyster,,Draw,lol,3.81,1.2,July 20 2024
t37jplV23Ua4bNKbUhqo,227,Hell Pigs,2024-07-20,J Team,,Draw,lol,9.26,1.03,July 20 2024
vFbQw8sdYqN9ojw9jMOu,232,Entropiq,2024-07-20,UNiTY,,Draw,lol,1.02,10.94,July 20 2024
37VNKXI1nApyEOyDGNJM,11,Cody Gibson,2024-07-20,Brian Kelleher,,Draw,mma,1.37,2.83,July 20 2024
9EB5yK4or1u6fHBdLqV3,40,Lucie Pudilova,2024-07-20,Luana Carolina,,Draw,mma,1.82,1.87,July 20 2024
HYsAnTVNkc0ZuXN8TwQG,79,Bruno Silva,2024-07-20,Cody Durden,,Draw,mma,2.14,1.63,July 20 2024
IMGbcuac5KJCgbrWW9ee,85,Hyder Amil,2024-07-20,Jeong Yeong Lee,,Draw,mma,2.47,1.48,July 20 2024
Rx9rwbAztgC9Ed3S8hxU,126,Thomas Petersen,2024-07-20,Mohammed Usman,,Draw,mma,2.23,1.58,July 20 2024
Y7z4KssfToAqHSRpEzrw,154,Trey Ogden,2024-07-20,Loik Radzhabov,,Draw,mma,2.16,1.61,July 20 2024
ZzicGdD2dBYjwKO7VUT7,161,Dione Barbosa,2024-07-20,Miranda Maverick,,Draw,mma,2.56,1.45,July 20 2024
6k3DW2KER5vkBNDX46rP,28,Soniqs,2024-07-17,Thrive,,Soniqs,r6,1.02,9.65,July 17 2024
GXe14kjclaihPLyLVJk4,73,MKERS,2024-07-18,Arial Arise,,MKERS,r6,1.32,3.01,July 18 2024
KIslWZ7ikjEf54FFc1oC,92,Spacestation Academy,2024-07-18,FLUFFY AIMERS,,Spacestation Academy,r6,1.65,2.08,July 18 2024
itzW7iHMH1SMe6RezNAa,191,Karn & Co,2024-07-18,Six Karma,,Six Karma,r6,4.63,1.15,July 18 2024
5HLPdszdFGnI36yjFJmO,19,100%,2024-07-17,Espartaco,,100%,rocket-league,1.7,2.01,July 17 2024
6nXbdUnaZqP4webNyXSE,30,100%,2024-07-17,Endpoint CeX,,100%,rocket-league,2.19,1.59,July 17 2024
7XXVhhMkYe5E3qKbHNBT,34,LG x Complexity,2024-07-17,Resolve,,LG x Complexity,rocket-league,1.42,2.61,July 17 2024
BPpUA1OCcXnsOU4On9NZ,51,Resolve,2024-07-17,SAUDADE,,Resolve,rocket-league,1.17,4.4,July 17 2024
COGWsKVL5IOK0d4admEp,57,JJROX,2024-07-17,Endpoint CeX,,Endpoint CeX,rocket-league,1.84,1.84,July 17 2024
HZbBzqPPEsOin7hKDGZu,80,Oxygen,2024-07-17,Jobless,,Oxygen,rocket-league,1.31,3.08,July 17 2024
JAN4jLLFkLl8cUG5eqUU,87,Fake GA,2024-07-17,SAUDADE,,Fake GA,rocket-league,1.6,2.16,July 17 2024
JnSJ5unow57hiOisgqiO,88,Endpoint CeX,2024-07-17,Jobless,,Endpoint CeX,rocket-league,2.19,1.59,July 17 2024
KHzzJMQ8JPie1ilU50nT,91,Oxygen,2024-07-17,JJROX,,Oxygen,rocket-league,1.15,4.63,July 17 2024
KTxzl0vIuIjNq3biAGQB,94,LG x Complexity,2024-07-17,Fake GA,,LG x Complexity,rocket-league,1.17,4.34,July 17 2024
PHcc5pfpNeTWMxqiRs7T,115,Fake GA,2024-07-17,espartaco,,Fake GA,rocket-league,2.5,1.45,July 17 2024
ZF2IItMfuqlwXNv8qT1f,157,Jobless,2024-07-17,100%,,100%,rocket-league,1.24,3.54,July 17 2024
dQiXiO7SFfIso1qGnreT,172,SAUDADE,2024-07-17,LG x Complexity,,SAUDADE,rocket-league,5.19,1.13,July 17 2024
oDhdatVh6bZm9qODue0z,214,Resolve,2024-07-17,JJROX,,Resolve,rocket-league,1.85,1.83,July 17 2024
tTYwuo6uEfnCS1PqiRzm,228,espartaco,2024-07-17,Oxygen,,Oxygen,rocket-league,5.2,1.12,July 17 2024
